run_item_id,template_id,rep_id,provider,model,temperature,arm_label,step2_action_class,accepted_branch_alignment_class,acceptance_variant_id,accepted_branch_label,main_direction_label,side_direction_label,output_tokens,source_outdir,accepted_branch_followthrough_present,reopened_choice_absent,appropriate,comparative_evaluation_present,explicit_branch_count,accepted_branch_recognition_present,alternative_branch_push_absent,notes_optional
GPH2_anthropic_ablation_B_side_r24,B_hiring_packet,24,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_side_first,side_topic,required documents and the deadline,onboarding training,102,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r01,C_incident_response,1,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,185,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r02,C_incident_response,2,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,132,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,1,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r03,C_incident_response,3,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,192,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r04,C_incident_response,4,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,175,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r05,C_incident_response,5,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,122,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,1,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r06,C_incident_response,6,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,157,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,1,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r07,C_incident_response,7,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,105,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,1,0,1,2,1,1,accepted branch is visible but the response does not deliver a concrete next-step continuation
GPH2_anthropic_ablation_C_main_r08,C_incident_response,8,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,132,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,1,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r09,C_incident_response,9,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,185,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r10,C_incident_response,10,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,185,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r11,C_incident_response,11,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,185,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r12,C_incident_response,12,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,132,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,1,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r13,C_incident_response,13,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,186,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r14,C_incident_response,14,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,185,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r15,C_incident_response,15,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,177,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r16,C_incident_response,16,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,185,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r17,C_incident_response,17,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,202,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r18,C_incident_response,18,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,132,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,1,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r19,C_incident_response,19,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,131,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,1,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r20,C_incident_response,20,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,189,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r21,C_incident_response,21,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,172,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r22,C_incident_response,22,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,84,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,1,0,1,2,1,1,accepted branch is visible but the response does not deliver a concrete next-step continuation
GPH2_anthropic_ablation_C_main_r23,C_incident_response,23,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,132,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,1,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_C_main_r24,C_incident_response,24,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,escalation contacts and response timing,postmortem format,131,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,1,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r01,D_product_launch,1,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,160,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r02,D_product_launch,2,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,176,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r03,D_product_launch,3,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,157,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,1,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r04,D_product_launch,4,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,147,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r05,D_product_launch,5,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,160,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r06,D_product_launch,6,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,110,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r07,D_product_launch,7,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,123,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r08,D_product_launch,8,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,109,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r09,D_product_launch,9,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,160,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r10,D_product_launch,10,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,130,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r11,D_product_launch,11,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,109,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r12,D_product_launch,12,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,157,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,1,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r13,D_product_launch,13,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,188,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r14,D_product_launch,14,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,163,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r15,D_product_launch,15,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,174,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r16,D_product_launch,16,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,138,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r17,D_product_launch,17,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,160,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r18,D_product_launch,18,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,105,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r19,D_product_launch,19,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,157,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,1,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r20,D_product_launch,20,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,179,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r21,D_product_launch,21,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,183,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
GPH2_anthropic_ablation_D_side_r22,D_product_launch,22,anthropic,claude-sonnet-4-6,0.0,ablation,revisable_recommendation,same_as_recommendation,accept_side_first,side_topic,owner assignments and release timing,announcement draft,163,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,0,0,0,1,2,1,0,reopened the settled branch choice instead of continuing within the accepted branch
